Date,Current Red-Phase: Aksum (A),Current White-Phase: Aksum (A),Current Blue-Phase: Aksum (A),Current Red-Phase: Maps (A),Current White-Phase: Maps (A),Current Blue-Phase: Maps (A),Current Red-Phase: Songhai (A),Current White-Phase: Songhai (A),Current Blue-Phase: Songhai (A)
01/03/2019 00:00,51.8,38.4,33.5,47,39.5,15.6,49.3,42.4,29.6
01/03/2019 01:00,50.3,37.1,31.3,42.8,35.6,13.6,46.9,40,27
01/03/2019 02:00,46,33.1,28.4,44.9,36.1,15,42.8,35.6,22.9
01/03/2019 03:00,37.7,24.2,19.9,46.9,40.1,17.8,34.9,27,14.4
01/03/2019 04:00,44.1,32.1,28.6,42.8,33.7,14.3,28.9,22.3,9.3
01/03/2019 05:00,41.1,30.4,27.9,40.6,32.4,13.3,31.6,25.7,13.7
01/03/2019 06:00,30.8,20.2,17.7,39.9,32,12.9,42,33.7,22.4
01/03/2019 07:00,32.8,21.5,19.4,37.6,30.3,11.6,39.9,33.3,21.5
01/03/2019 08:00,30,19.1,15.8,25.8,19.2,9.3,41.1,33.1,21.3
01/03/2019 09:00,23,12.2,9.1,21.7,15.8,5,41.1,32.5,19.6
01/03/2019 10:00,23.8,9.8,5.9,39.5,30.6,13.7,28.2,22.1,7.7
01/03/2019 11:00,22.1,8.3,4.8,30.8,23.3,8.9,27.2,17.5,2.4
01/03/2019 12:00,22.1,8.2,4.9,32.4,23.9,6.6,24,17.6,2.7
01/03/2019 13:00,23,11.6,8.2,35.9,26.3,7.7,29,17.8,3.5
01/03/2019 14:00,26.2,14.2,9.9,38.8,27.1,8.4,26.5,20.8,5.9
01/03/2019 15:00,22.2,10.7,6.5,35.9,24.5,5.4,25.2,16.6,3.6
01/03/2019 16:00,26.4,14.7,9.4,34.8,25,5.2,24.9,17.3,3.1
01/03/2019 17:00,24.2,12.2,8.4,34.9,27.7,10.5,24.2,17.4,2.8
01/03/2019 18:00,20.3,9.1,5.7,35.3,27.7,11,23.4,17.8,4
01/03/2019 19:00,23.1,12.1,9.6,48.8,40.7,21.3,24.5,17.9,3.9
01/03/2019 20:00,22.8,10.6,6.9,39.3,32.3,16.1,29.9,19.2,6.5
01/03/2019 21:00,22.2,9.4,6.4,47.3,39.7,22.3,32.8,24.3,12.8
01/03/2019 22:00,30.6,17.6,14.1,51.8,41.1,18.7,51.4,42.3,29.5
01/03/2019 23:00,52.8,39.5,36.7,50.6,41,17.8,49.1,42.1,29
02/03/2019 00:00,49,36.2,32.4,51,44,22.4,46.8,38.9,26.3
02/03/2019 01:00,46,34,30.6,51.7,43.5,22,46.8,38,26.7
02/03/2019 02:00,33.7,22.9,19.5,45.5,34.4,15.5,44.1,37,24.9
02/03/2019 03:00,33.6,20.4,18.1,45.5,35.3,17.2,44.7,37.6,25.8
02/03/2019 04:00,41.7,28.9,27.5,38.6,29.2,17.7,41.4,34.4,22.8
02/03/2019 05:00,48.2,35.7,33.9,40.8,32.3,13.6,40.4,33.8,22.3
02/03/2019 06:00,25.7,14.9,11.6,39.9,31.5,12.7,31.4,25.1,13.2
02/03/2019 07:00,28.2,25.3,22.6,38,28.8,10.6,29.9,23.2,11.3
02/03/2019 08:00,23.4,13.3,10.4,38.8,27.4,8.8,28.6,24.2,12.6
02/03/2019 09:00,34.9,23,19.5,37.7,27.2,8.6,28,22.6,9.6
02/03/2019 10:00,24.8,12.4,8.5,33.3,26,4.5,26.3,19.3,7.4
02/03/2019 11:00,19.9,9.3,5.6,34.5,27.1,6.5,25.8,21.3,7.5
02/03/2019 12:00,27.4,13.8,9.8,39.8,30.4,10.4,26.4,21.7,7.1
02/03/2019 13:00,26.6,12,8.5,42,32.8,12.2,23.8,17.8,3.8
02/03/2019 14:00,20.3,8,5.2,42.5,32.6,11.9,26.1,21,6.7
02/03/2019 15:00,31.9,19.7,19.4,39.6,31.1,11.1,26.1,17.6,3.8
02/03/2019 16:00,24.7,12.2,9.4,39.1,25,4.6,35,15.5,4.5
02/03/2019 17:00,23.9,12,9,38,26.9,4.6,27.9,17.4,4.6
02/03/2019 18:00,20,9.4,7.4,44.6,24.9,4.7,22.7,16.5,3.3
02/03/2019 19:00,22.1,10.2,7,51.9,41.7,21.5,41.9,25.8,10.5
02/03/2019 20:00,21.8,9.5,6.9,43.9,35.7,14.8,43.7,32.7,17.8
02/03/2019 21:00,32.2,16,11.6,52.7,42.8,18.1,40.1,33.6,20
02/03/2019 22:00,53.4,39.3,36.8,51.8,41.4,18.5,52.5,43.3,28.4
02/03/2019 23:00,48.8,35.3,32.4,49.7,41.6,18.6,50.3,43.3,28.5
03/03/2019 00:00,47.2,34.2,30.5,46.1,37.4,17.3,37.8,26.8,12
03/03/2019 01:00,34.2,22.1,19.5,42,33.8,14.2,31.2,24.3,10.7
03/03/2019 02:00,33.5,20.9,18.1,41.7,35.7,14.2,30.1,23.4,10.2
03/03/2019 03:00,32.4,21,17.3,40,31.3,11.7,28.6,22.1,9.6
03/03/2019 04:00,52.7,40.4,37.2,38.6,30.4,12.4,28.5,23.4,10.3
03/03/2019 05:00,36.8,25.7,22.2,39.1,30,11.5,28.6,22.3,10.2
03/03/2019 06:00,27.3,16.8,13.4,37.6,28.9,11.2,51.5,45.9,34.5
03/03/2019 07:00,24.7,14.4,11.2,38.5,29.5,11.6,53.3,45.4,34.1
03/03/2019 08:00,19.7,9.1,5.5,35.1,27.2,8.7,41.8,35.4,24.1
03/03/2019 09:00,20.1,12.5,4.7,32.4,23.7,5.3,45.1,34,23
03/03/2019 10:00,33.2,16.8,13.7,30.7,23.9,9,32.9,23.6,11.7
03/03/2019 11:00,26.5,11,8.4,20.2,14.9,5.1,32,19,6.8
03/03/2019 12:00,26.9,8.8,8.2,21,14.7,5.4,23.7,15.6,3.2
03/03/2019 13:00,24.5,8.5,9.3,33.8,22.6,8,24.3,16,3.1
03/03/2019 14:00,22.9,7.9,5.1,35.7,26.6,8.4,28.2,17.4,5.9
03/03/2019 15:00,21.9,7.9,4.3,36.3,24.5,6.1,27.9,15.7,9.3
03/03/2019 16:00,28,7.5,3.3,36.2,26.8,6.9,29.9,15.5,6.5
03/03/2019 17:00,23.5,8.6,5.7,36,27.3,6.7,22.2,15.9,3
03/03/2019 18:00,26.3,11.6,5.5,35.9,28.1,7.3,23.9,16.6,3.1
03/03/2019 19:00,28.1,17.5,11.4,47.1,38.8,14.9,23,17.5,2.8
03/03/2019 20:00,25.4,12.3,8.1,43.8,35,11.2,29.6,25.3,10.9
03/03/2019 21:00,40.2,27.8,24.8,50.2,41.3,19.8,36.1,28.8,14.7
03/03/2019 22:00,36.6,23.9,20.5,43.1,34.5,12.6,50.1,43.1,27.9
03/03/2019 23:00,25.7,12.3,9.7,40.9,33.3,12.7,49.3,41.3,26.4
04/03/2019 00:00,33.9,20,18.2,43.1,35,15.1,35.7,28,14.6
04/03/2019 01:00,39.4,26.7,24,41.5,33.9,13.9,31.2,24.4,11.6
04/03/2019 02:00,32.8,21,18.3,43.9,36.1,16.1,29.6,23.8,11
04/03/2019 03:00,32.3,21.4,18.5,43.3,34.6,15.2,28.5,22,10.2
04/03/2019 04:00,61.3,49.5,47.8,41.8,31.9,13.8,27.8,21.4,9.4
04/03/2019 05:00,46.3,34.9,32.9,39.8,30.3,12.2,28.1,21.7,9.8
04/03/2019 06:00,30.7,19.8,17.2,39.6,30.9,12.7,27.5,20.7,9.3
04/03/2019 07:00,26.9,15.1,13,40.6,31.5,14.7,26.8,20.1,8.9
04/03/2019 08:00,22.3,9.8,7.4,36.9,27.2,9.3,27.2,21.7,10.7
04/03/2019 09:00,24.5,11.5,8.7,32.1,24.6,4.7,51.2,44.5,34.3
04/03/2019 10:00,20.4,7.6,5.2,31.8,24.3,4.7,25.1,19.7,6.6
04/03/2019 11:00,20.6,9.1,6.1,34.8,24.8,4.7,28.7,21.2,6.8
04/03/2019 12:00,24.9,12.4,9,36.4,25.7,5.1,24.1,17.7,4.2
04/03/2019 13:00,20.6,8.1,4.9,34.9,26.1,5.2,23.9,16.7,2.9
04/03/2019 14:00,21.4,8.7,5.6,35.4,24,5.4,25.2,17,3
04/03/2019 15:00,28.5,16.2,13,35.1,24.5,5.3,22.6,16.9,3.4
04/03/2019 16:00,20.9,8.6,4.6,28.4,20,6.5,22.3,16.4,3.4
04/03/2019 17:00,22.2,9.5,6.8,35.3,24,6,23,17.8,4.4
04/03/2019 18:00,25.1,12.5,9.8,35.2,29.8,9.8,24.9,17.9,3
04/03/2019 19:00,23.2,10.6,9.9,28.2,28.3,11.8,29,20.7,3.5
04/03/2019 20:00,22.8,9.6,5.8,43.4,36.7,15.9,36,28.2,12.5
04/03/2019 21:00,21.8,10.2,6.1,37.5,28.6,9.6,34.7,24.9,10.2
04/03/2019 22:00,20.9,10.5,8.8,46.2,31.7,12.3,39.6,32.2,15.8
04/03/2019 23:00,43.7,32.4,29.9,46.6,37.3,17.9,60.2,54.3,37
05/03/2019 00:00,32.1,21.7,18.2,40.6,35,14.9,52.6,46.8,31.3
05/03/2019 01:00,43.8,30.3,28.3,39.9,36.9,11.4,45,38.9,23.8
05/03/2019 02:00,46.3,32.6,32,42.9,35.8,14.5,43.7,35.9,23.8
05/03/2019 03:00,39.3,27.8,26.6,43.2,34.2,15.2,44.3,34.8,22.4
05/03/2019 04:00,40,28.5,27.2,32.7,25.2,14.1,41.4,33.3,21.8
05/03/2019 05:00,37.5,26.4,25,33.8,25.4,15.3,39.9,32,21.8
05/03/2019 06:00,33.9,21.9,20.9,42.3,33.4,17.1,34.8,27.4,16.7
05/03/2019 07:00,30.9,18.9,18.2,28.9,20.4,10.1,26.4,20.1,8.6
05/03/2019 08:00,24.5,12.4,10.3,29.5,21.5,9.1,24.6,19,6.7
05/03/2019 09:00,20.3,8.2,4.7,30.5,21.1,6.5,22.6,17.6,4.3
05/03/2019 10:00,19.7,7.3,5.1,29,19.7,4.5,22.9,16.1,3
05/03/2019 11:00,21,7.3,5.2,32.8,23.5,5.4,21.3,15.8,2.8
05/03/2019 12:00,20.1,7.4,5.4,35,26.2,7.1,21.9,15.2,3
05/03/2019 13:00,20.4,9.1,6.5,35,24.2,5.6,23.5,17.4,4.5
05/03/2019 14:00,23.8,12,8.6,34.8,23.9,5,27.5,19.5,7.3
05/03/2019 15:00,21.5,10.4,8,34.5,24.3,6.1,22.5,15.3,2.8
05/03/2019 16:00,20.9,7.1,4.4,30.8,22.6,7.3,21.5,16,2.7
05/03/2019 17:00,23.6,10.8,8.9,33.4,23.9,5,21.9,15.9,2.8
05/03/2019 18:00,22.2,7.9,5.4,37.8,29.7,9.9,22.6,19.6,6.5
05/03/2019 19:00,25.2,10.6,6.6,38.1,27,8.1,29.2,24.8,9.6
05/03/2019 20:00,30.7,14.5,9.6,42.8,34,14.3,31.6,25.9,12.1
05/03/2019 21:00,27.4,17,9.1,49.6,43.1,20.6,38.4,33.3,19.7
05/03/2019 22:00,26.2,15.4,5.8,44.4,38.3,16.9,44.4,35.6,21.1
05/03/2019 23:00,23.4,14.2,6.4,41.8,32,12.4,40.6,32.1,17.8
06/03/2019 00:00,22.2,11,5.8,41.9,32.6,11.4,34,28.6,14.1
06/03/2019 01:00,20.9,11.8,7.2,42.3,31.6,11.6,33.5,28.1,13
06/03/2019 02:00,41.4,32.2,28.4,44,34.8,15.5,32.9,27.9,13.9
06/03/2019 03:00,35.3,27.8,22.9,43,33.5,14.7,28.1,22.8,9.5
06/03/2019 04:00,60.7,51.4,48.6,33.2,23.1,13.6,27.5,21.5,8.8
06/03/2019 05:00,42.3,32.8,29.3,33.2,24.9,12.7,26.8,20.3,8.4
06/03/2019 06:00,30.6,20.5,16.6,37.8,28.5,10.5,26.7,20.2,8.2
06/03/2019 07:00,32.1,20.5,17.4,34,24.1,11.2,24.4,19.2,6.3
06/03/2019 08:00,33.7,16.2,11.7,31.8,22,6.7,26.9,18.7,7.5
06/03/2019 09:00,23.1,10.9,6.7,28.8,19.6,4.4,26.4,17.7,5.8
06/03/2019 10:00,20.5,8.8,7.5,30.1,21.2,4.5,21.2,14.7,3.3
06/03/2019 11:00,23.7,9,5.8,33.4,23.9,4.7,22.4,16.5,3.9
06/03/2019 12:00,24.8,9.7,5.3,43.9,36.1,16.1,21.7,17.6,5
06/03/2019 13:00,23.6,10.1,6.7,35.1,25,7.1,25.2,18.6,6.1
06/03/2019 14:00,24.9,12.7,9.3,32.8,23.4,4.8,24.2,15.7,2.9
06/03/2019 15:00,21.1,7.8,4.3,33,23.3,4.4,24.3,18.3,5.9
06/03/2019 16:00,23.9,8.4,3.9,37.3,30.1,10.3,21.3,14.8,2.6
06/03/2019 17:00,21.9,8.2,4.5,36,26.7,6.9,22.2,16.4,3.7
06/03/2019 18:00,23.7,9.5,4.7,31.6,21,5.4,24.5,17.7,5.4
06/03/2019 19:00,22.5,9.2,5.6,39.6,32.8,19.9,23.7,17.4,3.8
06/03/2019 20:00,24.5,10.7,8.7,27.6,20.9,11.6,28.8,24.1,9.2
06/03/2019 21:00,39.1,24.5,22,38.3,29.5,10.9,40.6,29.8,14
06/03/2019 22:00,43.7,28,27.5,39,30.8,12.8,35.4,27.4,12.6
06/03/2019 23:00,27.3,15.1,14,43.7,35.8,16.3,32.5,27,12.9
07/03/2019 00:00,42,29.2,28.3,43.6,36.1,18.1,32.4,26.9,11.1
07/03/2019 01:00,49,34.2,34.3,44.3,36.3,15.2,32.7,25.6,11
07/03/2019 02:00,39.6,26.5,25.1,45.3,37.1,15.7,30.5,24.2,10.3
07/03/2019 03:00,39.8,27.9,25.7,42.1,33,12.9,28.9,22.6,9.5
07/03/2019 04:00,37.3,25.4,24.7,40.7,32,13.2,28.3,22.5,9.1
07/03/2019 05:00,36.6,24.3,23.8,40.7,31.5,12.7,27.5,20.5,8.9
07/03/2019 06:00,35.9,23.5,23.1,37.2,28,9.8,26.8,19.8,8.4
07/03/2019 07:00,30,16.9,16.4,37.2,27.8,9.9,27.5,20.1,8.1
07/03/2019 08:00,22.9,10.6,8.8,26.3,20.4,10.7,28,21.3,9.4
07/03/2019 09:00,20.1,7.2,5.5,27.7,21.7,7.2,27.9,20.9,8.2
07/03/2019 10:00,21.9,8.3,4.8,31.4,23.7,8.5,27.4,16.5,4.8
07/03/2019 11:00,22.3,8.4,4.6,30.3,21.5,5.5,27.1,21,7.5
07/03/2019 12:00,25.5,9.1,4.9,34.3,23.4,5.2,24.4,15.2,2.5
07/03/2019 13:00,22.2,8.1,5.1,33.8,26.9,8.1,25.5,17.3,5.2
07/03/2019 14:00,20.8,8.2,5.2,34.4,25.9,6.2,23.3,19.8,8.1
07/03/2019 15:00,20.8,7.9,6.6,35.5,29.2,9.7,22,16,2.8
07/03/2019 16:00,21.1,8.3,4.4,44.7,35.6,16.8,21.1,14.7,4.5
07/03/2019 17:00,21.6,8.3,5,42.5,32.9,16.6,22.3,16.9,6.3
07/03/2019 18:00,20.1,9.6,5.3,37.4,27.7,12.7,29.9,23.2,11
07/03/2019 19:00,22.7,10,6.3,46.9,37.8,14.9,40.9,33,18.4
07/03/2019 20:00,28.9,14.4,11.4,46.4,38.7,15.8,37.3,29.7,15.5
07/03/2019 21:00,36.5,18.2,15.5,46,36.1,15.2,40.5,33.8,18.9
07/03/2019 22:00,59.9,39.6,38.2,47.8,39.5,18.6,46,37.4,21.1
07/03/2019 23:00,47.2,32.7,31.4,48.1,39.2,17.2,31.8,26.5,11.4
08/03/2019 00:00,43.4,31.4,29.6,44.8,36.9,14.8,33.3,25.2,10
08/03/2019 01:00,43,30.6,29.3,49.3,43.3,20.2,31.5,25.1,11.4
08/03/2019 02:00,40.1,27,26.1,43.6,34.1,15.1,29.2,21.6,9.2
08/03/2019 03:00,39.8,27.3,26,32.6,24,11.9,31.7,24.3,11.9
08/03/2019 04:00,38.4,26.5,25.2,36.4,28.6,12.8,30.4,23.5,12
08/03/2019 05:00,34.4,22.4,23.9,42.6,35.7,14.8,28,20.8,9.4
08/03/2019 06:00,32.6,20.4,19.1,35.6,27.7,11,28.3,21.1,9.3
08/03/2019 07:00,31.8,16.7,16.3,35.3,25.4,8.9,25.4,18.9,7.1
08/03/2019 08:00,25.5,11.6,9.7,28.8,20.4,7.2,25.8,19.6,7.6
08/03/2019 09:00,20.3,7.1,5.4,27,20,4.5,25.8,18.9,7.5
08/03/2019 10:00,19.2,8.4,6,26.5,18.8,5,24.5,18,6.8
08/03/2019 11:00,21.2,7.7,4.9,30.1,21,4.8,23.4,16.9,5
08/03/2019 12:00,23.1,13.2,10.2,34.4,24.8,5,22.6,15.1,2.3
08/03/2019 13:00,23.6,10.3,5.9,33.9,25.1,5.1,24.1,16.5,3.5
08/03/2019 14:00,25.7,14.6,10.4,36.6,36,13.5,24.8,17.7,5.4
08/03/2019 15:00,20.7,10.1,6.8,37.6,26.1,6.2,24,29.6,17.9
08/03/2019 16:00,21.3,9,5.2,34.3,27.8,9.6,23.5,14.3,3
08/03/2019 17:00,20.6,8.9,4.8,34.2,30.4,6.9,29.1,20.9,9.5
08/03/2019 18:00,25.6,14.7,14.1,35.7,26.8,6.1,21.9,15.4,2.8
08/03/2019 19:00,23.5,13.7,6.7,36,33.3,8.1,24.5,17,2.9
08/03/2019 20:00,21.7,9.3,6.3,42,36.3,14.7,25.5,18.7,3
08/03/2019 21:00,21.9,9.3,7.9,36.5,29,7.8,29.7,24.4,8.4
08/03/2019 22:00,21.9,9.8,6,41.4,34.6,13.6,31.3,24.2,8.5
08/03/2019 23:00,21.6,9.3,5.7,40.3,35.4,15.7,28.9,24.4,7.8
09/03/2019 00:00,29,17.9,14.4,37.5,30.6,11.7,33.8,27.3,12.1
09/03/2019 01:00,27.5,16.5,13.5,38.7,30.3,9.7,28.9,23.5,9
09/03/2019 02:00,31.2,20.1,18,38.6,29.9,10.1,31.9,25.8,12.7
09/03/2019 03:00,40.1,29.3,27.7,42.7,34.3,14.9,68.5,59.1,48.1
09/03/2019 04:00,41.9,29.9,29.4,40,30.5,12.3,68.4,59.5,49.4
09/03/2019 05:00,40.3,28.3,27.8,42.4,32.6,17.3,65.4,58.4,48.5
09/03/2019 06:00,38.5,26.6,25.6,42.7,33.5,15,66.8,60,50.1
09/03/2019 07:00,36,24.7,24,32.3,24.3,11.1,44.4,38.6,28
09/03/2019 08:00,27.1,15.4,13.7,32.9,23.2,8.8,39.8,34,22.7
09/03/2019 09:00,22.5,9.8,5.3,29.8,21.4,6.6,28,22,10.6
09/03/2019 10:00,25.7,9.7,6.2,25.4,17.7,3.9,23.2,16.3,5.4
09/03/2019 11:00,27.8,13.2,7.9,29.9,21.1,3.9,24,17.4,5.5
09/03/2019 12:00,24.8,9.4,7.3,35.2,26.8,4.8,24.7,17.6,5.2
09/03/2019 13:00,23.3,13.1,10.3,35.3,26.7,4.3,27.4,19.9,6.8
09/03/2019 14:00,29.7,16,10.1,35.1,24.8,4.8,26.3,15.5,2.5
09/03/2019 15:00,33.7,11.3,7.6,36.8,28.1,8.2,23.3,16.6,2.5
09/03/2019 16:00,31,17.9,10.7,33.8,25.5,4.7,23.8,16.4,3.1
09/03/2019 17:00,28.5,12.9,6,32.2,22.8,4.8,25.5,20.1,7
09/03/2019 18:00,27.9,13.7,11.7,33.7,22,5,24.6,18.9,4.9
09/03/2019 19:00,23.7,9,6.8,41.1,36.1,14.4,28.4,21.3,5.4
09/03/2019 20:00,25.6,10.4,7.1,45.4,37.1,18.5,34.6,27.1,11.4
09/03/2019 21:00,21.9,10.7,6.5,42.9,33.2,18.7,32.1,25,10.9
09/03/2019 22:00,23.1,11.4,6.2,42.5,32,12,28.9,23.5,8.2
09/03/2019 23:00,29.6,17.2,12.8,42,31.7,13.3,32.7,27.2,13
10/03/2019 00:00,34.8,23,19.1,43.5,33.8,12.8,32.7,27,13.3
10/03/2019 01:00,28.2,18.5,14.5,44.5,36.9,15.7,30.3,25.6,11.4
10/03/2019 02:00,31.3,21.7,18.4,40.4,32.6,12.6,30.5,25.2,10.8
10/03/2019 03:00,31.7,21.1,18.3,42.7,35.5,15.4,28.6,24.2,9.8
10/03/2019 04:00,50.4,38.9,37.6,32.9,25.4,13.5,28,22.3,9
10/03/2019 05:00,48,37.2,35.8,37.1,29.1,14.2,27.5,22.5,9.5
10/03/2019 06:00,38.7,26.3,25.3,36.1,27,12.3,27.5,21.9,9.4
10/03/2019 07:00,30.8,20.1,19.1,35.8,27,10.5,30.9,22.7,11.1
10/03/2019 08:00,18.5,7.9,4.9,33.3,24.1,6.7,27.8,20.3,9.3
10/03/2019 09:00,19,7.9,4.5,27.1,19.1,5.7,24.7,20.1,9
10/03/2019 10:00,20.3,9.6,7.1,31.5,23.8,8,22.8,17.5,6
10/03/2019 11:00,25.4,13.4,10.9,26.2,18.1,4.9,20.9,14.4,2.8
10/03/2019 12:00,24.9,14.2,10.6,28.1,19.5,5.2,21.6,14.6,2.8
10/03/2019 13:00,19.4,8.5,5.1,34.9,23.5,5.1,21.3,15.5,2.9
10/03/2019 14:00,20.1,8.4,5.5,33.6,22.9,6.7,22.2,14.8,3.9
10/03/2019 15:00,27.1,13.6,5.7,31.6,22.3,5.9,22.9,15.6,2.8
10/03/2019 16:00,27.7,13.3,4.7,36.4,29.4,7.4,22.5,16,3.5
10/03/2019 17:00,28.8,13.4,5.8,40.1,33.9,11.3,23.4,16.7,7
10/03/2019 18:00,30.4,14.3,9.7,36,31.5,9.6,24.7,17.3,4.6
10/03/2019 19:00,26.6,9.5,10.3,54.6,40.5,19.8,30.9,25.7,10.8
10/03/2019 20:00,23.1,10.2,6,50.1,37.8,15.6,35.5,30.5,14.7
10/03/2019 21:00,22.1,12.1,6.3,48.5,50.8,27.3,37.3,30.4,17.6
10/03/2019 22:00,23,14.7,9.8,45.9,38.6,13.3,72.4,62.4,48.8
10/03/2019 23:00,44.1,35.1,30.6,51.4,44.7,20.2,79.8,72.5,58.3
11/03/2019 00:00,38.4,29.3,26.5,47.7,41.9,16.9,55.6,49.2,34.8
11/03/2019 01:00,37.4,27.6,22.4,46,37.4,16.4,46.2,40.8,26.1
11/03/2019 02:00,56.6,47.3,43.1,44.5,35,15.6,43.5,36,23.8
11/03/2019 03:00,48.8,38.9,36.2,43.7,33.5,16.5,35.4,27.8,16.7
11/03/2019 04:00,29.1,19.1,16.1,39.9,30.2,13.2,28.7,20.7,9.7
11/03/2019 05:00,28.4,18.4,14.9,38.4,28.9,11.6,28.3,20.5,9.7
11/03/2019 06:00,25.7,15.7,12.4,36.9,28.4,10.6,39.3,32.3,21.5
11/03/2019 07:00,48.5,33.7,32.1,40.5,33.1,15.4,39.5,31.9,21.7
11/03/2019 08:00,25.4,11.2,8.2,29.7,21.7,9.5,24.1,18.2,6.5
11/03/2019 09:00,20.6,8.4,4.8,28.9,19.5,5.2,26.6,19.6,7.6
11/03/2019 10:00,26,21.6,18.2,30.7,23.3,6.6,22.2,16,3.6
11/03/2019 11:00,24.9,10.4,6.8,28.4,20.9,4.4,22,14.8,3.2
11/03/2019 12:00,29.5,15.9,11.5,31.6,25.2,5.6,22.7,15.2,3.2
11/03/2019 13:00,20.7,8.2,4.9,33.1,27.6,8.4,24,16.7,4.4
11/03/2019 14:00,20.9,8.2,4.7,35.9,27.1,7.4,25.8,16.6,4.2
11/03/2019 15:00,21,8.6,4.9,37.6,28.8,8.8,23.6,16.4,4.4
11/03/2019 16:00,26.6,9.3,5.6,38,31.6,10.1,31.9,19.3,6.8
11/03/2019 17:00,23.7,9.1,7.8,40,31.5,14,27.5,19.5,7
11/03/2019 18:00,23.5,9.5,5.4,33.7,24.6,6.8,26.5,18.3,5.1
11/03/2019 19:00,25.8,12.8,6.5,33.4,21.8,4.5,29.5,20.9,7.9
11/03/2019 20:00,25.7,12.3,10,32,26.5,10.1,31.3,21.5,9.4
11/03/2019 21:00,25.7,11.9,8.1,39.1,33.4,12.1,30.9,27.6,11.1
11/03/2019 22:00,29.2,15.3,12.1,43.7,46.9,22.4,42.9,41.2,26
11/03/2019 23:00,39.5,25.3,24.2,47,38.2,14.5,48.1,40,25.4
12/03/2019 00:00,36.9,28.3,21.5,51.2,44.5,21.3,49.5,44.4,28.9
12/03/2019 01:00,40.4,28.9,25,43.8,34.7,13.7,52.7,46.4,30.2
12/03/2019 02:00,39.6,25.9,23.3,39.7,30.1,12.7,47.7,41.8,27.5
12/03/2019 03:00,39.8,27.7,25.7,40.9,30.5,12.5,40.6,32.9,21.2
12/03/2019 04:00,39.2,27.2,25.7,31.4,22.3,11.8,37.2,30,19.5
12/03/2019 05:00,36.7,24.9,23.5,34.5,26,14.9,36.3,28.8,18.3
12/03/2019 06:00,31.2,19.8,17.6,39.3,30.1,12.4,34.7,29.5,18
12/03/2019 07:00,31.4,19.8,18,35.6,25.7,11.6,32.3,25.7,14.4
12/03/2019 08:00,24.6,13.3,10.7,32.3,23.3,8.2,30.6,23.5,13.3
12/03/2019 09:00,20.4,9.9,5.6,30.1,23.1,4.5,26.1,19.1,8.5
12/03/2019 10:00,23,10.2,6.4,33.2,28.6,4.3,21,15.3,5
12/03/2019 11:00,22.1,7.9,7.3,30.5,20.2,4.3,23.5,18.2,6.2
12/03/2019 12:00,21.5,7.5,6.8,33,23.9,4.4,22.2,16.5,4.1
12/03/2019 13:00,21.5,8.3,4.7,30.5,22.1,6.9,23.1,17.1,5.7
12/03/2019 14:00,22,8.7,4.6,29.6,19.8,4.6,21.9,16.3,3.6
12/03/2019 15:00,23.1,11.1,6.6,35.9,26.5,7.8,25.2,20,6.8
12/03/2019 16:00,21.3,8.8,4.3,34.2,22.5,5.4,25,18.8,6.9
12/03/2019 17:00,21.4,8.1,6.1,32.6,26.7,8.8,29.3,24.5,10.6
12/03/2019 18:00,19.7,8.4,5.4,31.2,24.4,9.7,25.6,21.3,6.2
12/03/2019 19:00,21.5,9.3,5.7,36,31.8,9.9,27.9,23.3,9
12/03/2019 20:00,23.9,10.9,5.2,36,30.6,9.5,25.4,19.4,2.8
12/03/2019 21:00,21.9,12,5.4,34.1,27.3,5.2,27.3,24.1,6.8
12/03/2019 22:00,26.1,16.7,11.1,38.4,35.6,10.4,32.3,27.1,10.6
12/03/2019 23:00,32.9,19.6,17.6,39.1,34.2,11.5,44.4,39.2,23
13/03/2019 00:00,35.2,23.7,19.9,38.3,29.9,9.4,45.3,39.7,25.1
13/03/2019 01:00,32.2,20.4,17.5,40.8,32.1,12.5,50.6,42.5,28.4
13/03/2019 02:00,42.4,29.3,26.9,37.5,28,12.1,46.8,38.7,26
13/03/2019 03:00,44.4,32.7,30.8,38.4,28.7,14.5,42.2,35.9,23
13/03/2019 04:00,43.9,32,30.8,40,30.3,13.1,35.9,31.2,17.9
13/03/2019 05:00,41.5,30.5,29.4,39.9,29.3,12.5,35.8,30.8,17.9
13/03/2019 06:00,25.7,15.3,13,38.2,28.5,11.6,34.7,28.2,16.2
13/03/2019 07:00,37.9,20.6,19.5,32.5,22.8,11,31.3,25.5,13.4
13/03/2019 08:00,34.4,13.7,11.6,29.4,20.9,12.9,27.1,20.7,9.1
13/03/2019 09:00,23.8,11.1,8,28.5,23.1,9.3,25.7,18.8,7.2
13/03/2019 10:00,19.5,7.5,5.9,28.8,19.5,4.4,22.5,15.7,3.5
13/03/2019 11:00,20.2,7.7,4.9,24.8,17.6,5.3,24.8,20.4,6.5
13/03/2019 12:00,19.3,7.8,5.3,32.6,24.5,7,21.7,17.7,4.1
13/03/2019 13:00,22.6,9.7,6.8,27.1,21,6.8,24.5,21.8,8.2
13/03/2019 14:00,22.7,11.3,8.4,33.2,26.7,9.1,26.3,20.9,7.5
13/03/2019 15:00,22.3,9.8,5.7,32.3,22.2,4.7,25.5,20.3,6.8
13/03/2019 16:00,24.4,13,8.1,33.7,24.3,5.1,21.6,15.7,2.7
